State,City,Year,Avg_AQI,Std_AQI,Avg_Water_Contamination,Avg_Industrial_Emission,Avg_Vehicular_Emission,Avg_GDP,Avg_Population,Avg_Public_Transport,Avg_AQI_Improvement,NCAP_Flag,CI_Lower,CI_Upper,Correlation_AQI_Emission,Projected_AQI_20pct_Cut
Andhra Pradesh,Visakhapatnam,2014,186.4267,27.1513,1.2133,26478.5,124761.0,148338.0,2381.0,40.0,1.0883,No,-4.1084,6.535,-0.0054,175.24
Andhra Pradesh,Visakhapatnam,2015,186.2492,27.2417,1.2242,30853.0,124078.0,157238.0,2369.0,40.0,-0.45,No,-4.1152,6.5636,-0.0054,175.07
Andhra Pradesh,Visakhapatnam,2016,105.8437,26.7116,3.2112,370056.1158,1739847.6342,157405.8789,624.6684,34.3368,3.3315,No,-2.0243,8.4467,-0.0054,99.49
Andhra Pradesh,Visakhapatnam,2017,114.8425,40.5073,3.1768,158080.2493,1945204.2959,168194.7562,575.789,35.563,3.1001,No,-4.7626,11.1162,-0.0054,107.95
Andhra Pradesh,Visakhapatnam,2018,121.5178,55.5954,3.2506,268606.9616,2130338.5562,172349.2781,576.4575,36.3137,0.3038,No,-7.6461,14.1473,-0.0054,114.23
Andhra Pradesh,Visakhapatnam,2019,122.0315,61.6603,3.1795,181337.5534,2356559.0,188794.5096,586.1315,30.5726,0.7599,No,-8.9059,15.2649,-0.0054,114.71
Andhra Pradesh,Visakhapatnam,2020,88.5582,42.7685,2.9207,369004.1489,2536171.7846,200627.8085,640.3059,32.4761,1.8657,No,-5.4619,11.3033,-0.0054,83.24
Andhra Pradesh,Visakhapatnam,2021,199.3925,30.9756,1.2533,28528.0,136433.0,223045.0,2587.0,40.0,0.255,Yes,-4.8179,7.3245,-0.0054,187.43
Andhra Pradesh,Visakhapatnam,2022,196.3967,24.7805,1.14,32882.4167,134350.0,236428.0,2550.0,40.0,1.5542,Yes,-3.717,5.997,-0.0054,184.61
Andhra Pradesh,Visakhapatnam,2023,209.135,24.8729,1.4217,35408.25,144236.0,250613.0,2724.0,40.0,0.1158,Yes,-3.4534,6.2968,-0.0054,196.59
Andhra Pradesh,Visakhapatnam,2024,203.2767,25.7884,1.1075,21994.0833,136728.0,265650.0,2592.0,40.0,-0.8908,Yes,-3.947,6.162,-0.0054,191.08
Andhra Pradesh,Visakhapatnam,2025,200.5892,24.9186,1.29,26302.8333,134109.0,281589.0,2546.0,40.0,-1.6325,Yes,-3.594,6.174,-0.0054,188.55
Assam,Guwahati,2010,191.2875,25.1064,1.2683,28201.25,223961.0,148995.0,3174.0,35.0,0.2267,No,-3.6526,6.1892,-0.0054,179.81
Assam,Guwahati,2011,192.4625,27.5299,1.2242,26326.6667,225718.0,157935.0,3205.0,35.0,0.3633,No,-4.1717,6.6201,-0.0054,180.91
Assam,Guwahati,2012,194.5125,27.2882,1.0967,27509.8333,226216.0,167411.0,3213.0,35.0,-0.5925,No,-4.2518,6.4452,-0.0054,182.84
Assam,Guwahati,2013,197.1933,26.7845,1.37,29865.5,228611.0,177456.0,3256.0,35.0,0.7567,No,-3.8798,6.6198,-0.0054,185.36
Assam,Guwahati,2014,198.9858,23.7546,1.255,20785.1667,230414.0,188103.0,3287.0,35.0,0.415,No,-3.4009,5.9109,-0.0054,187.05
Assam,Guwahati,2015,205.2608,25.8531,1.175,30289.8333,232836.0,199389.0,3330.0,35.0,0.1342,No,-3.8922,6.2422,-0.0054,192.95
Assam,Guwahati,2016,199.4017,28.5109,1.3275,32677.75,230398.0,211352.0,3287.0,35.0,1.11,No,-4.2606,6.9156,-0.0054,187.44
Assam,Guwahati,2017,203.2608,26.3582,1.2608,28889.0,232599.0,224033.0,3326.0,35.0,-1.3025,No,-3.9054,6.427,-0.0054,191.07
Assam,Guwahati,2018,206.7308,24.9967,1.06,31172.4167,235546.0,237475.0,3378.0,35.0,-2.0283,No,-3.8394,5.9594,-0.0054,194.33
Assam,Guwahati,2019,128.0286,108.8063,3.295,457790.5094,1560132.15,200014.9031,1567.0797,32.5859,2.3048,Yes,-18.031,24.621,-0.0054,120.35
Assam,Guwahati,2020,162.9247,114.9938,3.0753,390504.1809,1633290.7926,217941.2261,1639.4043,33.8298,2.7872,No,-19.4635,25.6141,-0.0054,153.15
Assam,Guwahati,2021,206.83,28.1374,1.25,35048.4167,236331.0,282837.0,3392.0,35.0,-0.1717,Yes,-4.2649,6.7649,-0.0054,194.42
Assam,Guwahati,2022,214.2475,30.3825,1.1083,27548.25,242054.0,299807.0,3493.0,35.0,0.19,Yes,-4.8467,7.0633,-0.0054,201.39
Assam,Guwahati,2023,218.1708,26.9407,1.1683,31884.5833,244772.0,317796.0,3541.0,35.0,0.6483,Yes,-4.1121,6.4487,-0.0054,205.08
Assam,Guwahati,2024,214.3275,28.48,1.17,27583.0833,241701.0,336864.0,3487.0,35.0,-0.3483,Yes,-4.4121,6.7521,-0.0054,201.47
Assam,Guwahati,2025,212.6225,30.0502,1.3433,36775.25,239522.0,357075.0,3448.0,35.0,-0.8083,Yes,-4.5465,7.2331,-0.0054,199.87
Bihar,Patna,2010,133.8342,16.4864,1.24,29863.5833,149520.0,301984.0,597.0,29.0,-1.495,No,-1.9913,4.4713,-0.0054,125.8
Bihar,Patna,2011,135.7333,19.3512,1.2375,33499.6667,151160.0,320103.0,625.0,29.0,0.2217,No,-2.5553,5.0303,-0.0054,127.59
Bihar,Patna,2012,135.6658,16.3122,1.3733,28421.25,151770.0,339309.0,636.0,29.0,-0.6867,No,-1.8239,4.5705,-0.0054,127.53
Bihar,Patna,2013,139.6592,14.4644,1.4883,28204.6667,153570.0,359668.0,668.0,29.0,1.1508,No,-1.3467,4.3233,-0.0054,131.28
Bihar,Patna,2014,139.9383,17.7336,1.3033,33946.3333,154386.0,381248.0,682.0,29.0,0.1733,No,-2.1725,4.7791,-0.0054,131.54
Bihar,Patna,2015,206.4279,127.6271,4.0929,207974.6347,1688673.7032,382020.9361,1876.3014,29.1073,-0.6594,No,-20.922,29.1078,-0.0054,194.04
Bihar,Patna,2016,246.4877,129.1427,4.0692,209994.7022,1744320.347,390188.582,1941.3429,38.1708,-0.6898,No,-21.2428,29.3812,-0.0054,231.7
Bihar,Patna,2017,225.1301,118.5568,4.0329,228541.5055,2006788.9781,419562.9918,1961.5096,35.9493,2.5061,No,-19.2042,27.27,-0.0054,211.62
Bihar,Patna,2018,234.2685,113.9596,4.1675,245135.5315,2222083.4384,459315.6781,1962.5685,34.9849,0.9414,No,-18.1686,26.5036,-0.0054,220.21
Bihar,Patna,2019,218.1301,119.2081,4.2051,229733.4247,2388533.2466,444680.0205,1997.7589,35.7082,2.0464,Yes,-19.1597,27.5699,-0.0054,205.04
Bihar,Patna,2020,162.084,68.0627,3.9246,464633.5239,2511020.0904,468672.2819,1989.8564,35.5957,0.0703,Yes,-9.4157,17.2649,-0.0054,152.36
Bihar,Patna,2021,161.0333,21.338,1.2792,31547.5833,168694.0,573256.0,935.0,29.0,0.26,Yes,-2.903,5.4614,-0.0054,151.37
Bihar,Patna,2022,154.2133,19.6675,1.48,24754.0,166142.0,607652.0,890.0,29.0,-0.1658,Yes,-2.3748,5.3348,-0.0054,144.96
Bihar,Patna,2023,158.695,17.6202,1.2633,28539.8333,172366.0,644111.0,1000.0,29.0,-0.7017,Yes,-2.1903,4.7169,-0.0054,149.17
Bihar,Patna,2024,155.7425,23.1285,1.1533,34274.8333,167183.0,682757.0,908.0,29.0,0.065,Yes,-3.3799,5.6865,-0.0054,146.4
Bihar,Patna,2025,168.7325,21.1667,1.3658,35210.4167,178599.0,723723.0,1110.0,29.0,1.0317,Yes,-2.7829,5.5145,-0.0054,158.61
Chandigarh,Chandigarh,2010,113.6358,14.9275,1.4,25471.75,247569.0,819759.0,3158.0,44.0,-0.4108,No,-1.5258,4.3258,-0.0054,106.82
Chandigarh,Chandigarh,2011,111.695,12.181,1.1008,29256.4167,249668.0,868945.0,3195.0,44.0,-0.5292,No,-1.2867,3.4883,-0.0054,104.99
Chandigarh,Chandigarh,2012,114.2283,14.9095,1.26,33905.9167,250705.0,921081.0,3213.0,44.0,-0.0667,No,-1.6623,4.1823,-0.0054,107.37
Chandigarh,Chandigarh,2013,114.0958,17.4647,1.3267,27985.5833,251325.0,976346.0,3224.0,44.0,0.8617,No,-2.0964,4.7498,-0.0054,107.25
Chandigarh,Chandigarh,2014,118.4933,14.7519,1.3825,27088.75,255737.0,1034927.0,3302.0,44.0,-0.3233,No,-1.5089,4.2739,-0.0054,111.38
Chandigarh,Chandigarh,2015,114.6758,12.815,1.28,26251.9167,252850.0,1097022.0,3251.0,44.0,0.925,No,-1.2317,3.7917,-0.0054,107.8
Chandigarh,Chandigarh,2016,118.5425,14.8117,1.2483,26899.6667,258722.0,1162844.0,3354.0,44.0,-0.845,No,-1.6548,4.1514,-0.0054,111.43
Chandigarh,Chandigarh,2017,122.7625,18.465,0.9383,33170.4167,259080.0,1232614.0,3361.0,44.0,0.9033,No,-2.6808,4.5574,-0.0054,115.4
Chandigarh,Chandigarh,2018,118.1192,15.0761,1.0292,28956.1667,257725.0,1306571.0,3337.0,44.0,-0.0467,No,-1.9257,3.9841,-0.0054,111.03
Chandigarh,Chandigarh,2019,132.9986,66.4781,3.8553,157411.7674,1499038.124,1149503.9225,9958.1783,35.0,5.9789,Yes,-9.1744,16.885,-0.0054,125.02
Chandigarh,Chandigarh,2020,72.8842,28.2988,4.1215,199990.8191,1753830.6968,1263357.9947,10218.8936,34.1197,1.0233,No,-1.4251,9.6681,-0.0054,68.51
Chandigarh,Chandigarh,2021,126.3058,15.1852,1.1017,25213.1667,263741.0,1556147.0,3443.0,44.0,1.4817,Yes,-1.8746,4.078,-0.0054,118.73
Chandigarh,Chandigarh,2022,127.9325,16.1339,1.1775,34544.25,265317.0,1649516.0,3471.0,44.0,0.6067,Yes,-1.9847,4.3397,-0.0054,120.26
Chandigarh,Chandigarh,2023,124.07,20.1247,1.1783,22705.1667,260954.0,1748487.0,3394.0,44.0,0.4667,Yes,-2.7661,5.1227,-0.0054,116.63
Chandigarh,Chandigarh,2024,129.4933,15.6773,1.3058,31850.6667,269313.0,1853396.0,3541.0,44.0,0.0842,Yes,-1.767,4.3786,-0.0054,121.72
Chandigarh,Chandigarh,2025,139.4792,18.4124,1.3642,26268.0,275880.0,1964600.0,3657.0,44.0,-0.6258,Yes,-2.2446,4.973,-0.0054,131.11
Delhi,Delhi,2010,197.7983,23.1532,1.4117,22352.8333,228801.0,1937536.0,1360.0,44.0,0.06,No,-3.1263,5.9497,-0.0054,185.93
Delhi,Delhi,2011,197.8608,25.8397,1.1975,26752.0833,230709.0,2053788.0,1393.0,44.0,0.5542,No,-3.8671,6.2621,-0.0054,185.99
Delhi,Delhi,2012,197.705,28.2193,1.2425,30619.6667,230970.0,2177015.0,1398.0,44.0,-0.0092,No,-4.2885,6.7735,-0.0054,185.84
Delhi,Delhi,2013,196.7608,22.5053,1.2783,27826.25,232005.0,2307636.0,1416.0,44.0,-1.125,No,-3.1327,5.6893,-0.0054,184.96
Delhi,Delhi,2014,203.665,25.7719,1.1825,37880.5,235918.0,2446094.0,1485.0,44.0,0.0617,No,-3.8688,6.2338,-0.0054,191.45
Delhi,Delhi,2015,297.0247,81.8549,5.6845,211498.6315,9708210.0836,2591452.1603,12032.2658,54.7178,-0.1632,No,-10.3591,21.7281,-0.0054,279.2
Delhi,Delhi,2016,300.9016,123.3007,5.6965,307522.3128,10076179.9959,2964584.4303,12165.6148,54.9672,1.4965,No,-18.4704,29.8634,-0.0054,282.85
Delhi,Delhi,2017,253.337,137.6965,5.6616,243745.7151,11231791.9151,2995976.8795,12265.2822,54.426,0.8847,No,-21.3269,32.6501,-0.0054,238.14
Delhi,Delhi,2018,249.1589,114.2832,5.6871,254131.0589,12441376.1164,3009915.9973,12334.9315,54.0781,3.0419,No,-16.7124,28.0866,-0.0054,234.21
Delhi,Delhi,2019,232.1041,117.5978,5.6691,198120.2068,13698054.4753,3223457.4671,12529.5863,54.389,3.0961,Yes,-17.3801,28.7183,-0.0054,218.18
Delhi,Delhi,2020,182.9096,89.8005,5.5883,220994.9202,14658929.5479,3361366.3936,12341.2074,53.4362,2.7218,Yes,-12.0126,23.1892,-0.0054,171.94
Delhi,Delhi,2021,209.5767,25.8581,1.185,35671.0833,242705.0,3678021.0,1605.0,44.0,-0.6592,Yes,-3.8832,6.2532,-0.0054,197.0
Delhi,Delhi,2022,220.2475,31.4201,1.25,25682.0833,251805.0,3898703.0,1765.0,44.0,-0.6083,Yes,-4.9083,7.4083,-0.0054,207.03
Delhi,Delhi,2023,218.4058,33.4388,1.27,23708.8333,245328.0,4132625.0,1651.0,44.0,0.78,Yes,-5.284,7.824,-0.0054,205.3
Delhi,Delhi,2024,227.5525,23.4204,1.1158,30549.75,255493.0,4380582.0,1831.0,44.0,0.5742,Yes,-3.4746,5.7062,-0.0054,213.9
Delhi,Delhi,2025,229.9167,26.5297,1.2,28796.0833,257842.0,4643417.0,1872.0,44.0,-1.5775,Yes,-3.9998,6.3998,-0.0054,216.12
Gujarat,Ahmedabad,2010,140.4392,18.1662,1.3867,32191.75,142244.0,4183396.0,3455.0,31.0,-0.5817,No,-2.1739,4.9473,-0.0054,132.01
Gujarat,Ahmedabad,2011,144.28,15.389,1.1467,25690.1667,143296.0,4434399.0,3473.0,31.0,1.525,No,-1.8695,4.1629,-0.0054,135.62
Gujarat,Ahmedabad,2012,146.3675,17.8365,1.185,25018.75,144598.0,4700463.0,3496.0,31.0,1.0325,No,-2.311,4.681,-0.0054,137.59
Gujarat,Ahmedabad,2013,146.1883,19.3347,1.2292,26718.8333,146055.0,4982491.0,3522.0,31.0,0.7525,No,-2.5604,5.0188,-0.0054,137.42
Gujarat,Ahmedabad,2014,148.9383,19.0031,1.1408,35501.0,150634.0,5281441.0,3603.0,31.0,-0.3642,No,-2.5838,4.8654,-0.0054,140.0
Gujarat,Ahmedabad,2015,348.5877,178.2186,2.2037,253158.0671,4018171.4699,5655401.1301,10361.9315,33.9397,2.5366,No,-32.7271,37.1345,-0.0054,327.67
Gujarat,Ahmedabad,2016,365.2145,148.5377,2.0667,195022.9426,4457176.929,5988681.8852,10431.7978,35.5779,2.232,No,-27.0467,31.1801,-0.0054,343.3
Gujarat,Ahmedabad,2017,415.5904,197.0277,2.0937,212028.9342,4853858.411,6048309.3151,10467.3781,34.9014,1.0311,No,-36.5237,40.7111,-0.0054,390.65
Gujarat,Ahmedabad,2018,616.7384,340.5358,2.0245,140922.6945,5117052.411,6384889.6877,10639.0932,35.8644,0.9249,No,-64.7205,68.7695,-0.0054,579.73
Gujarat,Ahmedabad,2019,509.2027,273.1147,2.1105,184012.9493,5925439.8822,6644254.6301,10787.8178,32.9,1.6081,Yes,-51.42,55.641,-0.0054,478.65
Gujarat,Ahmedabad,2020,246.4869,219.7476,2.0053,201596.0053,6204280.5479,7010306.9814,10614.758,38.3404,2.5662,Yes,-41.0652,45.0758,-0.0054,231.7
Gujarat,Ahmedabad,2021,159.18,19.9813,1.0,18435.4167,155927.0,7941334.0,3696.0,31.0,-1.6733,Yes,-2.9163,4.9163,-0.0054,149.63
Gujarat,Ahmedabad,2022,156.9575,20.927,1.2842,24381.25,154532.0,8417814.0,3671.0,31.0,-0.595,Yes,-2.8175,5.3859,-0.0054,147.54
Gujarat,Ahmedabad,2023,171.7325,22.6976,1.3792,25299.0833,164796.0,8922883.0,3852.0,31.0,-0.7267,Yes,-3.0695,5.8279,-0.0054,161.43
Gujarat,Ahmedabad,2024,177.8217,22.6385,1.1717,23184.6667,170289.0,9458256.0,3949.0,31.0,-0.1267,Yes,-3.2654,5.6088,-0.0054,167.15
Gujarat,Ahmedabad,2025,185.1633,24.8067,1.1583,31238.3333,173034.0,10025751.0,3998.0,31.0,-0.8225,Yes,-3.7038,6.0204,-0.0054,174.05
Haryana,Gurugram,2010,129.8833,16.9839,1.1008,19453.5833,16156.0,2035921.0,4989.0,16.0,-0.3833,No,-2.228,4.4296,-0.0054,122.09
Haryana,Gurugram,2011,131.9025,15.5584,1.4317,26953.0,17590.0,2158077.0,5014.0,16.0,-0.8283,No,-1.6177,4.4811,-0.0054,123.99
Haryana,Gurugram,2012,133.58,18.9595,1.1658,25661.9167,19753.0,2287561.0,5052.0,16.0,-0.0858,No,-2.5503,4.8819,-0.0054,125.57
Haryana,Gurugram,2013,138.635,17.2096,1.1958,25831.5,22129.0,2424815.0,5094.0,16.0,-1.405,No,-2.1773,4.5689,-0.0054,130.32
Haryana,Gurugram,2014,137.8608,18.4433,0.9467,22647.6667,23243.0,2570304.0,5114.0,16.0,-0.8167,No,-2.6682,4.5616,-0.0054,129.59
Haryana,Gurugram,2015,289.8867,85.0148,2.9867,595859.2667,121793.3778,2198933.1333,172019.6,30.8444,-0.5553,No,-13.6762,19.6496,-0.0054,272.49
Haryana,Gurugram,2016,220.2131,119.675,3.5346,780441.8743,144175.1612,2074929.112,224684.0246,39.1612,-0.8913,No,-19.9217,26.9909,-0.0054,207.0
Haryana,Gurugram,2017,274.3767,125.0932,3.4543,764312.0986,150820.8548,2137996.5918,224988.4904,39.2055,-0.8419,No,-21.064,27.9726,-0.0054,257.91
Haryana,Gurugram,2018,231.2151,106.3075,3.4915,796443.326,148228.6466,2085288.7781,226250.1753,39.611,-1.0193,No,-17.3448,24.3278,-0.0054,217.34
Haryana,Gurugram,2019,195.211,109.6989,3.478,785375.2137,150138.1507,2089663.4904,223845.3534,39.6795,-1.2445,No,-18.023,24.979,-0.0054,183.5
Haryana,Gurugram,2020,158.4912,65.6444,3.4905,747357.3511,142276.2553,2138886.2926,217176.6277,37.9734,-0.9787,No,-9.3758,16.3568,-0.0054,148.98
Haryana,Gurugram,2021,151.0225,20.9771,1.4758,26685.8333,34309.0,3864787.0,5309.0,16.0,-0.6825,Yes,-2.6357,5.5873,-0.0054,141.96
Haryana,Gurugram,2022,155.4333,20.7056,1.1358,26569.75,36724.0,4096674.0,5351.0,16.0,-0.2333,Yes,-2.9225,5.1941,-0.0054,146.11
Haryana,Gurugram,2023,151.3108,20.5568,1.3217,28355.8333,30784.0,4342474.0,5247.0,16.0,0.73,Yes,-2.7074,5.3508,-0.0054,142.23
Haryana,Gurugram,2024,167.0008,21.705,1.3317,25385.0833,42598.0,4603023.0,5455.0,16.0,-0.6392,Yes,-2.9225,5.5859,-0.0054,156.98
Haryana,Gurugram,2025,165.5033,20.0075,1.2117,32466.3333,43806.0,4879204.0,5476.0,16.0,-0.5008,Yes,-2.7098,5.1332,-0.0054,155.57
Jharkhand,Jorapokhar,2010,157.9608,19.3407,1.1492,26817.8333,60823.0,48098.0,854.0,20.0,-0.2142,No,-2.6416,4.94,-0.0054,148.48
Jharkhand,Jorapokhar,2011,160.295,21.9194,1.2567,28271.9167,62258.0,50984.0,879.0,20.0,-0.635,No,-3.0395,5.5529,-0.0054,150.68
Jharkhand,Jorapokhar,2012,162.1075,19.0595,1.1408,32003.5,64276.0,54043.0,914.0,20.0,-0.1208,No,-2.5949,4.8765,-0.0054,152.38
Jharkhand,Jorapokhar,2013,164.44,22.7278,1.3292,23900.5,65390.0,57286.0,934.0,20.0,-0.4808,No,-3.1254,5.7838,-0.0054,154.57
Jharkhand,Jorapokhar,2014,170.8275,22.5838,1.1967,23835.5,69212.0,60723.0,1002.0,20.0,-0.3867,No,-3.2297,5.6231,-0.0054,160.58
Jharkhand,Jorapokhar,2015,164.2658,21.5117,1.0983,27494.25,66007.0,64366.0,945.0,20.0,-0.3525,No,-3.118,5.3146,-0.0054,154.41
Jharkhand,Jorapokhar,2016,171.7842,20.3762,1.2408,32852.6667,72621.0,68228.0,1062.0,20.0,-0.4408,No,-2.7529,5.2345,-0.0054,161.48
Jharkhand,Jorapokhar,2017,136.7432,57.037,4.9332,1225386.39,233600.9614,56231.7992,29798.5714,39.7954,-0.9422,No,-6.2461,16.1125,-0.0054,128.54
Jharkhand,Jorapokhar,2018,163.8671,90.2421,5.0119,1251389.8301,240803.0082,56853.7534,30348.0356,38.5288,-1.1744,No,-12.6756,22.6994,-0.0054,154.04
Jharkhand,Jorapokhar,2019,151.0055,82.5024,5.0237,1233117.1863,240596.3863,56623.389,29979.9781,39.8438,-1.0038,No,-11.1468,21.1942,-0.0054,141.95
Jharkhand,Jorapokhar,2020,146.9366,38.4652,4.8558,1222748.5372,229121.5638,57486.1809,28773.0851,40.1489,-0.8804,No,-2.6834,12.395,-0.0054,138.12
Jharkhand,Jorapokhar,2021,186.0767,26.5203,1.2775,24989.3333,82801.0,91304.0,1241.0,20.0,0.3592,Yes,-3.9205,6.4755,-0.0054,174.91
Jharkhand,Jorapokhar,2022,179.6533,22.8239,1.2567,26817.75,75538.0,96783.0,1113.0,20.0,-1.0458,Yes,-3.2168,5.7302,-0.0054,168.87
Jharkhand,Jorapokhar,2023,179.97,23.7062,1.2267,24636.3333,77548.0,102590.0,1149.0,20.0,-0.3408,Yes,-3.4197,5.8731,-0.0054,169.17
Jharkhand,Jorapokhar,2024,185.52,24.5892,1.3325,24047.9167,80254.0,108745.0,1196.0,20.0,1.3133,Yes,-3.487,6.152,-0.0054,174.39
Jharkhand,Jorapokhar,2025,185.1883,21.3812,1.2808,29919.1667,78415.0,115270.0,1164.0,20.0,0.9583,Yes,-2.9099,5.4715,-0.0054,174.08
Karnataka,Bengaluru,2010,97.3725,13.7354,1.0317,27963.25,103736.0,1978388.0,12399.0,50.0,0.6475,No,-1.6604,3.7238,-0.0054,91.53
Karnataka,Bengaluru,2011,99.1575,12.5898,1.2783,23733.0833,105574.0,2097091.0,12431.0,50.0,-0.7883,No,-1.1893,3.7459,-0.0054,93.21
Karnataka,Bengaluru,2012,100.3058,13.8878,1.0375,31056.75,106169.0,2222916.0,12441.0,50.0,-0.0992,No,-1.6845,3.7595,-0.0054,94.29
Karnataka,Bengaluru,2013,103.2892,12.5024,1.1842,21109.3333,108331.0,2356291.0,12480.0,50.0,-0.165,No,-1.2663,3.6347,-0.0054,97.09
Karnataka,Bengaluru,2014,101.31,13.8061,1.0825,29134.5833,107970.0,2497669.0,12473.0,50.0,0.8908,No,-1.6235,3.7885,-0.0054,95.23
Karnataka,Bengaluru,2015,110.2959,45.0039,4.1448,399680.5959,5979186.9178,2644452.9479,4654.5548,56.1205,2.4279,No,-4.676,12.9656,-0.0054,103.68
Karnataka,Bengaluru,2016,103.9317,51.4949,4.2473,188849.123,6301138.3934,2777224.6516,4708.2541,52.5601,1.4579,No,-5.8457,14.3403,-0.0054,97.7
Karnataka,Bengaluru,2017,87.063,37.5733,4.0167,394597.1603,7243591.2192,2817010.5452,4740.6301,55.7342,0.6049,No,-3.3477,11.3811,-0.0054,81.84
Karnataka,Bengaluru,2018,86.4877,28.5152,4.1982,282004.2795,7441262.0904,3190446.1685,4809.9123,55.8918,0.7311,No,-1.3908,9.7872,-0.0054,81.3
Karnataka,Bengaluru,2019,91.6027,27.0403,4.2019,273231.7767,8370581.063,3233297.7068,4866.1685,50.7068,2.7859,Yes,-1.098,9.5018,-0.0054,86.11
Karnataka,Bengaluru,2020,80.847,20.577,3.8693,235593.4973,9072984.0851,3424380.6888,5108.5027,53.5266,0.3685,Yes,-0.1638,7.9024,-0.0054,76.0
Karnataka,Bengaluru,2021,110.2217,14.6152,1.1942,34242.0,115549.0,3755570.0,12607.0,50.0,0.1767,Yes,-1.6704,4.0588,-0.0054,103.61
Karnataka,Bengaluru,2022,112.7717,14.0204,1.3133,26383.5833,116859.0,3980905.0,12630.0,50.0,0.3458,Yes,-1.4347,4.0613,-0.0054,106.01
Karnataka,Bengaluru,2023,121.0458,15.9057,0.955,29986.0,123479.0,4219759.0,12747.0,50.0,-0.2042,Yes,-2.1625,4.0725,-0.0054,113.78
Karnataka,Bengaluru,2024,129.7,18.2466,1.3408,26206.9167,129177.0,4472945.0,12847.0,50.0,-0.0475,Yes,-2.2355,4.9171,-0.0054,121.92
